item,restaurant,price_usd
"
Caramel Cashew 2 Scoop
",culvers,4.59
"
Caramel Cashew 3 Scoop
",culvers,5.29
"
Crinkle Cut Fries
",culvers,1.89
"
Cole Slaw
",culvers,1.89
"
Mushed Potatoes
",culvers,1.89
"
Side Salad
",culvers,1.89
"
Onion Rings
",culvers,2.69
"
Chili Cheddar Fries
",culvers,3.49
"
Cheese Curds
",culvers,3.49
Blizzard Treat,dairy_queen,2.89
Blizzard Treat,dairy_queen,3.69
Blizzard Treat,dairy_queen,4.09
Blizzard Treat,dairy_queen,4.69
Blizzard Treat,dairy_queen,3.89
Add Extra Stuff,dairy_queen,0.69
Peanut Buster Parfait,dairy_queen,4.39
Banana Split,dairy_queen,4.39
Cone,dairy_queen,1.99
Cone,dairy_queen,2.39
Cone,dairy_queen,2.69
Dipped Cone,dairy_queen,2.39
Dipped Cone,dairy_queen,2.79
Dipped Cone,dairy_queen,3.19
Waffle Cone (Plain),dairy_queen,3.89
Waffle Cone (Chocolate Coated),dairy_queen,3.89
Sundae,dairy_queen,2.79
Sundae,dairy_queen,3.09
Sundae,dairy_queen,3.39
Fudge Stuffed Cookie,dairy_queen,4.19
Apple Tart,dairy_queen,4.39
Triple Chocolate Brownie,dairy_queen,4.39
Shake,dairy_queen,2.99
Shake,dairy_queen,3.29
Shake,dairy_queen,3.89
Shake,dairy_queen,4.59
MooLatte,dairy_queen,3.49
MooLatte,dairy_queen,3.99
MooLatte,dairy_queen,4.59
Arctic Rush,dairy_queen,1.69
Arctic Rush,dairy_queen,1.99
Arctic Rush,dairy_queen,2.29
Soft Drink,dairy_queen,1.79
Soft Drink,dairy_queen,1.99
Soft Drink,dairy_queen,2.19
Premium Fruit Smoothie,dairy_queen,2.99
Premium Fruit Smoothie,dairy_queen,3.49
Premium Fruit Smoothie,dairy_queen,3.99
Julius Original,dairy_queen,3.19
Julius Original,dairy_queen,3.39
Julius Original,dairy_queen,3.89
Add a Boost (Protein),dairy_queen,0.99
Add a Boost (Fresh Banana),dairy_queen,0.99
1/4 lb. Bacon Cheese GrillBurger,dairy_queen,3.99
1/4 lb. Bacon Cheese GrillBurger – Combo,dairy_queen,6.29
1/2 lb. FlameThrower GrillBurger,dairy_queen,5.39
1/2 lb. FlameThrower GrillBurger – Combo,dairy_queen,7.59
1/4 lb. Mushroom Swiss GrillBurger,dairy_queen,3.99
1/4 lb. Mushroom Swiss GrillBurger – Combo,dairy_queen,6.19
1/2 lb. Cheese GrillBurger ,dairy_queen,4.79
1/2 lb. Cheese GrillBurger – Combo,dairy_queen,6.99
1/4 lb. Cheese GrillBurger,dairy_queen,3.59
1/4 lb. Cheese GrillBurger – Combo,dairy_queen,5.79
Original Cheeseburger,dairy_queen,2.19
Original Cheeseburger – Combo,dairy_queen,4.39
Original Double Cheeseburger,dairy_queen,3.19
Original Double Cheeseburger – Combo,dairy_queen,5.39
Chili Cheese Dog,dairy_queen,2.49
Chili Cheese Dog – Combo,dairy_queen,4.69
Chicken Sandwich (Grilled or Crispy),dairy_queen,3.89
Chicken Sandwich (Grilled or Crispy) – Combo,dairy_queen,6.19
Chicken Bacon Ranch,dairy_queen,4.89
Chicken Bacon Ranch – Combo,dairy_queen,6.99
Chicken Mozzarella,dairy_queen,4.89
Chicken Mozzarella – Combo,dairy_queen,6.99
Turkey BLT,dairy_queen,4.89
Turkey BLT – Combo,dairy_queen,6.99
Alaskan Pacific Cod Sandwich (Limited Time),dairy_queen,3.19
Alaskan Pacific Cod Sandwich – Combo (Limited Time),dairy_queen,5.39
Buffalo Chicken,dairy_queen,1.89
Chicken Bacon BBQ,dairy_queen,1.89
Chicken Quesadilla,dairy_queen,1.89
Chicken Strip Basket,dairy_queen,5.49
Chicken Strip Basket with Drink,dairy_queen,6.49
Chicken Strip Basket,dairy_queen,6.89
Chicken Strip Basket with Drink,dairy_queen,7.89
Deluxe Cheeseburger Lunch,dairy_queen,5.00
Chicken Strip Lunch,dairy_queen,5.00
Crispy Chicken Wraps Lunch,dairy_queen,5.00
KC BBQ Bacon Cheeseburger Lunch,dairy_queen,5.00
Chicken BLT Salad (Crispy or Grilled),dairy_queen,6.19
Chicken Garden Greens Salad (Crispy or Grilled),dairy_queen,6.19
Side Salad,dairy_queen,2.19
Chicken Wrap,dairy_queen,1.89
Fries,dairy_queen,2.19
Fries,dairy_queen,2.69
Onion Rings,dairy_queen,2.49
Onion Rings,dairy_queen,2.69
Breaded Mushrooms,dairy_queen,2.49
Cheese Curds,dairy_queen,3.29
Cheese Curds,dairy_queen,5.99
"Pick Your Meal, Side, Drink & Treat",dairy_queen,4.29
Hand Tossed,dominos_pizza,5.99
Hand Tossed,dominos_pizza,7.99
Hand Tossed,dominos_pizza,9.99
Handmade Pan ,dominos_pizza,7.99
Crunchy Thin Crust,dominos_pizza,5.99
Crunchy Thin Crust,dominos_pizza,7.99
Crunchy Thin Crust,dominos_pizza,9.99
Brooklyn Style,dominos_pizza,9.99
Brooklyn Style,dominos_pizza,11.99
Gluten Free Crust,dominos_pizza,8.99
Spinach & Feta (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Spinach & Feta (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Spinach & Feta (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Spinach & Feta (Brooklyn Style),dominos_pizza,17.99
Spinach & Feta (Gluten Free Crust),dominos_pizza,14.99
Wisconsin 6 Cheese (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Wisconsin 6 Cheese (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Wisconsin 6 Cheese (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Wisconsin 6 Cheese (Brooklyn Style),dominos_pizza,17.99
Wisconsin 6 Cheese (Gluten Free Crust),dominos_pizza,14.99
Honolulu Hawaiian (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Honolulu Hawaiian (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Honolulu Hawaiian (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
