,restaurant,item,ms_item,matched_2021,new_item_2022,menu_item_id,food_category,item_description,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium,notes,calories_text,total_fat_text,saturated_fat_text,trans_fat_text,cholesterol_text,sodium_text,carbohydrates_text,dietary_fiber_text,sugar_text,protein_text,bestseller
58,arbys,Barq's Root Beer,"Barq’s Root Beer, 13oz",1,0,943947,Beverages,"Barq’s Root Beer, 13oz, Beverages",224.0,,g,,500,23.0,5.0,0.0,55.0,1960,48.0,4.0,7.0,24.0,,,,,,,,,,,,,0
59,arbys,Minute Maid Zero Sugar,"Coca-Cola Zero Sugar, 13oz",1,0,943948,Beverages,"Coca-Cola Zero Sugar, 13oz, Beverages",176.0,,g,,470,23.0,7.0,0.0,75.0,1360,28.0,2.0,2.0,38.0,,,,,,,,,,,,,0
60,arbys,Hi-C Flashin' Fruit Punch,"Hi-C Flashin’ Fruit Punch, 13oz",1,0,924904,Beverages,"Hi-C Flashin’ Fruit Punch, 13oz, Beverages",193.0,,g,,560,29.0,11.0,1.0,95.0,1140,42.0,3.0,3.0,36.0,,,,,,,,,,,,,0
61,arbys,Mello Yello,"Mello Yello, 13oz",1,0,924888,Beverages,"Mello Yello, 13oz, Beverages",324.0,,g,,530,21.0,10.0,1.0,85.0,2540,50.0,2.0,3.0,34.0,,,,,,,,,,,,,0
62,arbys,Fanta Orange,"Fanta Orange, 13oz",0,1,951641,Beverages,"Fanta Orange, 13oz, Beverages",18.0,,fl oz,,10,0.0,0.0,0.0,0.0,65,3.0,0.0,0.0,0.0,,,,,,,,,,,,,0
63,arbys,Bottled Water,Nestle Pure Life Bottled Water,0,1,951652,Beverages,"Nestle Pure Life Bottled Water, Beverages",358.0,,g,,5,0.0,0.0,0.0,0.0,0+,1.0,0.0,0.0,0.0,,,,,,,,,,,,,0
64,arbys,Market Fresh Classic Lemonade,Market Fresh Classic Lemonade - Small,0,1,951572,Beverages,"Market Fresh Classic Lemonade - Small, Limited Time Offers",273.0,,g,,700,44.0,13.0,0.0,75.0,1370,55.0,4.0,6.0,23.0,,,,,,,,,,,,,0
65,arbys,Market Fresh Strawberry Lemonade,Market Fresh Strawberry Lemonade - Small,0,1,951578,Beverages,"Market Fresh Strawberry Lemonade - Small, Limited Time Offers",372.0,,g,,540,16.0,10.0,0.0,50.0,320,88.0,1.0,74.0,12.0,,,,,,,,,,,,,0
66,arbys,Market Fresh Peach Lemonade,Market Fresh Peach Lemonade - Small,0,1,951575,Beverages,"Market Fresh Peach Lemonade - Small, Limited Time Offers",307.0,,g,,660,34.0,9.0,0.5,85.0,1970,47.0,3.0,12.0,43.0,,,,,,,,,,,,,0
67,arbys,Premium 4PC Chicken Nuggets Kids Meal,Premium Nuggets (9),0,1,951592,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",128.0,,g,,390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,,,,,,,,,,,,,0
